run,trialType,regSize,vaccEff,symptomRate,incubK,incubC,persistBloodK,persistBloodC,maxEnddate,maxCZSdate,testInterval,CZSTrim1,CZSTrim2,CZSTrim3,multiCZSrate,TTC,startPregRate,contraceptionRate,assumedRate,iter,contMean,contMedian,vaccMean,vaccMedian,power,meanDate,medianDate,ColFirst,ColPreI,CosFirst,CosPreI,EcuFirst,EcuPreI,MexFirst,MexPreI,PanFirst,PanPreI,PerFirst,PerPreI,startDate
run00025,CZStrial,950,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.788,2,1.2,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1000,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.832,2,1.184,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1050,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.9,2,1.252,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1100,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.752,1,1.332,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1150,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.944,2,1.244,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1200,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.924,2,1.292,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1250,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.824,1,1.364,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1300,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.068,2,1.252,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1350,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.072,2,1.292,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1400,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.144,2,1.312,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1450,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.148,2,1.424,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1500,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.076,2,1.352,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1550,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.208,2,1.416,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1600,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.116,2,1.432,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
